branch_code,kpi_category,period,target_value,target_count,product_category
WOLAYTA_SODO,Loan Saving Deposit,FY-2026-27,5000000,50,
WOLAYTA_SODO,Michu Current Saving,FY-2026-27,3000000,30,
WOLAYTA_SODO,Gihon Regular Saving,FY-2026-27,2000000,20,
WOLAYTA_SODO,Mothers Saving,FY-2026-27,1000000,15,
WOLAYTA_SODO,Young Womens Saving,FY-2026-27,800000,10,
WOLAYTA_SODO,Elders Saving,FY-2026-27,500000,8,
WOLAYTA_SODO,Children Saving,FY-2026-27,300000,5,
WOLAYTA_SODO,Fixed Time Deposit,FY-2026-27,4000000,25,
WOLAYTA_SODO,Premium Saving Deposit,FY-2026-27,1500000,12,
WOLAYTA_SODO,Special Saving,FY-2026-27,600000,8,
WOLAYTA_SODO,Segment Deposit,FY-2026-27,2000000,18,
WOLAYTA_SODO,Wadiah IFB Deposit,FY-2026-27,1000000,10,
